Item name,Variations,Option set 1,Option 1,Option set 2,Option 2,Option set 3,Option 3,Option set 4,Option 4,Is variation visible? (Yes/No),Price,Cost price,Variable price? (Yes/No),Tax rate (%),On sale in Online Store?,Regular price (before sale),Set up different prices and VAT for takeaway,Takeaway price,Takeaway tax rate,Unit,Track inventory? (Yes/No),Quantity,Low stock threshold,SKU,Barcode,Modifiers,Description (Online Store and Invoices only),Category,Display item at Checkout? (Yes/No),Display colour in POS checkout,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Image 7,Display item in Online Store? (Yes/No),SEO title (Online Store only),SEO description (Online Store only),Shipping weight [kg] (Online Store only),Display service in Bookings? (Yes/No),Duration [minutes] (Bookings only),Location [business/customer] (Bookings only),Item id (Do not change),Variant id (Do not change)
Visserie / boulonnerie / fixation – Réf. 82582871,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-82582871,,,À fournir par le client - Leroy Merlin - Réf. 82582871,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Visserie / boulonnerie / fixation – Réf. 82582875,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-82582875,,,À fournir par le client - Leroy Merlin - Réf. 82582875,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Visserie / boulonnerie / fixation – Réf. 82582876,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-82582876,,,À fournir par le client - Leroy Merlin - Réf. 82582876,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Visserie / boulonnerie / fixation – Réf. 82582877,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-82582877,,,À fournir par le client - Leroy Merlin - Réf. 82582877,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Visserie / boulonnerie / fixation – Réf. 82582882,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-82582882,,,À fournir par le client - Leroy Merlin - Réf. 82582882,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Visserie / boulonnerie / fixation – Réf. 82582889,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-82582889,,,À fournir par le client - Leroy Merlin - Réf. 82582889,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Visserie / boulonnerie / fixation – Réf. 82582890,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-82582890,,,À fournir par le client - Leroy Merlin - Réf. 82582890,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Visserie / boulonnerie / fixation – Réf. 82582892,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-82582892,,,À fournir par le client - Leroy Merlin - Réf. 82582892,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Visserie / boulonnerie / fixation – Réf. 82582893,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-82582893,,,À fournir par le client - Leroy Merlin - Réf. 82582893,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Visserie / boulonnerie / fixation – Réf. 82582894,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-82582894,,,À fournir par le client - Leroy Merlin - Réf. 82582894,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
